행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,위험도_점수,위험도,위험도7,예측_위험도
11110640,이화동,CS300015,가방,-0.3223664682443713,0,2단계,0
11110640,이화동,CS300018,의약품,0.2556464512412777,2,6단계,2
11110640,이화동,CS300019,의료기기,-0.1528276478733472,1,4단계,1
11110640,이화동,CS300021,문구,-0.40907578325874877,0,1단계,0
11110640,이화동,CS300028,화초,-0.2553815942349947,0,3단계,0
11110640,이화동,CS300043,전자상거래업,0.24167976932969576,2,6단계,2
11110650,혜화동,CS100001,한식음식점,0.15253483934343207,2,6단계,2
11110650,혜화동,CS100002,중식음식점,-0.038728166275699256,1,5단계,1
11110650,혜화동,CS100003,일식음식점,-0.1984135378990663,1,3단계,1
11110650,혜화동,CS100004,양식음식점,-0.05744398491098078,1,5단계,1
11110650,혜화동,CS100005,제과점,-0.24952816958944554,0,3단계,0
11110650,혜화동,CS100006,패스트푸드점,-0.0737005478008678,1,4단계,1
11110650,혜화동,CS100007,치킨전문점,0.9117784043818883,2,7단계,2
11110650,혜화동,CS100008,분식전문점,0.37734467346682254,2,6단계,2
11110650,혜화동,CS100009,호프-간이주점,0.07252328500009522,2,5단계,2
11110650,혜화동,CS100010,커피-음료,0.38259816819053544,2,6단계,2
11110650,혜화동,CS200001,일반교습학원,0.7038118308562407,2,7단계,2
11110650,혜화동,CS200002,외국어학원,0.05236207526252772,1,5단계,1
11110650,혜화동,CS200003,예술학원,0.2233829977621445,2,6단계,2
11110650,혜화동,CS200005,스포츠 강습,-0.03087813335160508,1,5단계,1
11110650,혜화동,CS200006,일반의원,-0.18158274694117515,1,4단계,1
11110650,혜화동,CS200007,치과의원,-0.16643648739914768,1,4단계,1
11110650,혜화동,CS200008,한의원,-0.3367546931460254,0,2단계,0
11110650,혜화동,CS200016,당구장,-0.11832667817094322,1,4단계,1
11110650,혜화동,CS200019,PC방,-0.16787272210186327,1,4단계,1
11110650,혜화동,CS200024,스포츠클럽,0.026288422165696712,1,5단계,1
11110650,혜화동,CS200025,자동차수리,-0.33550205530537447,0,2단계,0
11110650,혜화동,CS200028,미용실,-0.3517267171710389,0,2단계,0
11110650,혜화동,CS200029,네일숍,-0.27021345172929867,0,3단계,0
11110650,혜화동,CS200030,피부관리실,-0.5247023392116091,0,1단계,0
11110650,혜화동,CS200031,세탁소,-0.28880406278281423,0,2단계,0
11110650,혜화동,CS200032,가전제품수리,0.8683509070660916,2,7단계,2
11110650,혜화동,CS200034,여관,-0.41395028312105553,0,1단계,0
11110650,혜화동,CS200037,노래방,-0.36959217537111566,0,2단계,0
11110650,혜화동,CS300001,슈퍼마켓,-0.276575116673127,0,2단계,0
11110650,혜화동,CS300002,편의점,0.3118168265521222,2,6단계,2
11110650,혜화동,CS300004,핸드폰,-0.0802256783247477,1,4단계,0
11110650,혜화동,CS300007,육류판매,-0.3685852424898921,0,2단계,0
11110650,혜화동,CS300011,일반의류,-0.15374230428196584,1,4단계,1
11110650,혜화동,CS300016,안경,0.4816085699177675,2,7단계,2
11110650,혜화동,CS300017,시계및귀금속,-0.4059347115903805,0,1단계,0
11110650,혜화동,CS300018,의약품,-0.2256185738140999,1,3단계,1
11110650,혜화동,CS300020,서적,-0.29594312315597887,0,2단계,0
11110650,혜화동,CS300021,문구,-0.17334861965674508,1,4단계,1
11110650,혜화동,CS300022,화장품,0.05622101249490942,1,5단계,1
